"","country","happiness_index","sd_ladder","positive_affect","negative_effect","social_support","freedom","corruption","generosity","log_gdp","life_expectancy","region","population","area_sq_ft","population_density","coastline","net_migration","infant_mortality","gdp_capita","literacy","phones","arable_land","crops_land","other_land","climate","birthrate","deathrate","agriculture","industry","service"
"104","Portugal",66,73,97,100,47,37,135,122,39,22,"WESTERN EUROPE                     ",10605870,92391,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","21,75","7,81","70,44","3","10,72","10,5","0,053","0,274","0,673"
"105","Qatar",29,86,0,0,0,0,0,0,1,43,"NEAR EAST                          ",885359,11437,"77,4","4,92","16,29","18,61",21500,"82,5","232,0","1,64","0,27","98,09","1","15,56","4,72","0,002","0,801","0,197"
"106","Romania",48,75,80,62,86,57,146,102,48,61,"EASTERN EUROPE                     ",22303552,237500,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","40,82","2,25","56,93","3","10,7","11,77","0,101","0,35","0,549"
"107","Russia",68,64,96,9,40,107,127,101,45,89,"C.W. OF IND. STATES ",142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","7,33","0,11","92,56","1","9,95","14,65","0,054","0,371","0,575"
"108","Rwanda",152,63,54,102,144,21,2,90,132,103,"SUB-SAHARAN AFRICA                 ",8648248,26338,"328,4","0,00","0","91,23",1300,"70,4","2,7","40,54","12,16","47,3","3","40,37","16,09","0,401","0,229","0,37"
"109","Saudi Arabia",28,93,49,82,62,68,0,82,11,74,"NEAR EAST                          ",27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24","1","29,34","2,58","0,033","0,613","0,354"
"110","Senegal",111,44,68,60,106,121,88,130,126,109,"SUB-SAHARAN AFRICA                 ",11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01","2","32,78","9,42","0,172","0,209","0,619"
"111","Serbia",70,100,148,92,57,124,118,84,71,48,"EASTERN EUROPE                     ",9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45","1","9,34","8,27","0,166","0,255","0,579"
"112","Sierra Leone",129,153,139,149,135,116,112,79,145,146,"SUB-SAHARAN AFRICA                 ",6005250,71740,"83,7","0,56","0","143,64",500,"31,4","4,0","6,98","0,89","92,13","2","45,76","23,03","0,49","0,31","0,21"
"113","Singapore",34,5,38,2,36,20,1,21,3,1,"ASIA (EX. NEAR EAST)         ",4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64","0","98,36","2","9,34","4,28","0","0,339","0,661"
"114","Slovakia",38,39,53,47,21,108,142,70,35,38,"EASTERN EUROPE                     ",5439448,48845,"111,4","0,00","0,3","7,41",13300,"","220,1","30,16","2,62","67,22","3","10,65","9,45","0,035","0,294","0,672"
"115","Slovenia",44,54,114,71,14,13,97,54,34,29,"EASTERN EUROPE                     ",2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,6","1,49","89,91","1","8,98","10,31","0,028","0,369","0,603"
"116","Somalia",112,74,2,18,145,14,16,96,0,144,"SUB-SAHARAN AFRICA                 ",8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29","1","45,13","16,63","0,65","0,1","0,25"
"117","South Africa",106,124,40,80,63,85,102,89,77,123,"SUB-SAHARAN AFRICA                 ",44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13","1","18,2","22","0,025","0,303","0,671"
"118","Spain",30,21,107,107,26,95,78,50,30,3,"WESTERN EUROPE                     ",40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06","3","10,06","9,72","0,04","0,295","0,665"
"119","Sri Lanka",130,91,32,81,80,55,111,35,79,54,"ASIA (EX. NEAR EAST)         ",20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","13,86","15,7","70,44","2","15,51","6,52","0,178","0,276","0,545"
"120","Swaziland",135,104,26,57,103,113,41,145,96,0,"SUB-SAHARAN AFRICA                 ",1136334,17363,"65,5","0,00","0","69,27",4900,"81,6","30,8","10,35","0,7","88,95","3","27,41","29,74","0,119","0,515","0,366"
"121","Sweden",7,18,34,8,25,10,6,17,13,17,"WESTERN EUROPE                     ",9016596,449964,"20,0","0,72","1,67","2,77",26800,"99,0","715,0","6,54","0,01","93,45","3","10,27","10,31","0,011","0,282","0,707"
"122","Switzerland",6,11,44,21,13,11,7,16,8,4,"WESTERN EUROPE                     ",7523934,41290,"182,2","0,00","4,05","4,39",32700,"99,0","680,9","10,42","0,61","88,97","3","9,71","8,49","0,015","0,34","0,645"
"123","Syria",149,137,155,155,154,153,38,69,0,128,"NEAR EAST                          ",18881361,185180,"102,0","0,10","0","29,53",3300,"76,9","153,8","25,22","4,43","70,35","1","27,76","4,81","0,249","0,23","0,519"
"124","Taiwan",25,37,17,1,48,102,56,56,0,0,"ASIA (EX. NEAR EAST)         ",23036087,35980,"640,3","4,35","0","6,4",23400,"96,1","591,0","24","1","75","2","12,56","6,48","0,018","0,259","0,723"
"125","Tajikistan",74,50,120,54,113,86,35,72,123,92,"C.W. OF IND. STATES ",7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5","6,61","0,92","92,47","2","32,65","8,25","0,234","0,286","0,48"
"126","Tanzania",153,122,78,50,131,78,34,49,125,118,"SUB-SAHARAN AFRICA                 ",37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0","4,52","1,08","94,4","1","37,71","16,39","0,432","0,172","0,396"
"127","Thailand",52,81,20,35,53,18,131,10,62,58,"ASIA (EX. NEAR EAST)         ",64631595,514000,"125,7","0,63","0","20,48",7400,"92,6","108,9","29,36","6,46","64,18","2","13,87","7,04","0,099","0,441","0,46"
"128","Togo",139,103,123,147,149,120,72,131,142,132,"SUB-SAHARAN AFRICA                 ",5548702,56785,"97,7","0,10","0","66,61",1500,"60,9","10,6","46,15","2,21","51,64","2","37,01","9,83","0,395","0,204","0,401"
"129","Tunisia",124,79,147,132,121,143,101,144,84,67,"NORTHERN AFRICA                    ",10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6","17,86","13,74","68,4","3","15,52","5,13","0,132","0,318","0,55"
"130","Turkey",79,58,154,121,61,140,50,98,44,69,"NEAR EAST                          ",70413958,780580,"90,2","0,92","0","41,04",6700,"86,5","269,5","30,93","3,31","65,76","3","16,62","5,97","0,117","0,298","0,585"
"131","Turkmenistan",87,2,135,63,8,83,0,33,60,100,"C.W. OF IND. STATES ",5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6","3,72","0,14","96,14","1","27,61","8,6","0,209","0,38","0,411"
"132","Uganda",136,148,91,139,114,99,95,74,136,127,"SUB-SAHARAN AFRICA                 ",28195754,236040,"119,5","0,00","0","67,83",1400,"69,9","3,6","25,88","10,65","63,47","2","47,35","12,24","0,311","0,222","0,469"
"133","Ukraine",133,69,131,44,56,141,143,66,94,87,"C.W. OF IND. STATES ",46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9","56,21","1,61","42,18","3","8,82","14,39","0,187","0,452","0,361"
"134","United Arab Emirates",21,65,43,56,72,4,0,15,4,60,"NEAR EAST                          ",2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3","0,6","2,25","97,15","1","18,96","4,4","0,04","0,585","0,375"
"135","United Kingdom",15,16,52,42,9,63,15,4,23,24,"WESTERN EUROPE                     ",60609153,244820,"247,6","5,08","2,19","5,16",27700,"99,0","543,5","23,46","0,21","76,33","3","10,71","10,13","0,005","0,237","0,758"
"136","United States",19,49,35,70,37,62,42,12,10,39,"NORTHERN AMERICA                   ",298444215,9631420,"31,0","0,21","3,41","6,5",37800,"97,0","898,0","19,13","0,22","80,65","3","14,14","8,26","0,01","0,204","0,787"
"137","Uruguay",33,88,10,76,35,30,33,80,52,35,"LATIN AMER. & CARIB    ",3431932,176220,"19,5","0,37","-0,32","11,95",12800,"98,0","291,4","7,43","0,23","92,34","3","13,91","9,05","0,093","0,311","0,596"
"138","Uzbekistan",41,99,19,15,11,1,18,29,104,83,"C.W. OF IND. STATES ",27307134,447400,"61,0","0,00","-1,72","71,1",1700,"99,3","62,9","10,83","0,83","88,34","1","26,36","7,84","0,342","0,229","0,43"
"139","Venezuela",108,141,77,135,49,145,110,139,78,71,"LATIN AMER. & CARIB    ",25730435,912050,"28,2","0,31","-0,04","22,2",4800,"93,4","140,1","2,95","0,92","96,13","2","18,71","4,92","0,04","0,419","0,541"
"140","Vietnam",94,27,121,27,64,23,86,97,105,49,"ASIA (EX. NEAR EAST)         ",84402966,329560,"256,1","1,05","-0,45","25,95",2500,"90,3","187,7","19,97","5,95","74,08","2","16,86","6,22","0,209","0,41","0,381"
"141","Yemen",151,85,153,75,100,147,83,155,141,124,"NEAR EAST                          ",21456188,527970,"40,6","0,36","0","61,5",800,"50,2","37,2","2,78","0,24","96,98","1","42,89","8,3","0,135","0,472","0,393"
"142","Zambia",138,145,84,128,115,73,69,53,115,131,"SUB-SAHARAN AFRICA                 ",11502010,752614,"15,3","0,00","0","88,29",800,"80,6","8,2","7,08","0,03","92,9","2","41","19,93","0,22","0,29","0,489"
"143","Zimbabwe",146,123,63,34,110,96,63,141,131,129,"SUB-SAHARAN AFRICA                 ",12236805,390580,"31,3","0,00","0","67,69",1900,"90,7","26,8","8,32","0,34","91,34","2","28,01","21,84","0,179","0,243","0,579"
